"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Feb 2024 21:20:49.663,28 Feb 2024 22:01:42.817,2453.155
2,28 Feb 2024 22:47:14.880,28 Feb 2024 23:29:27.154,2532.275
3,29 Feb 2024 00:13:40.137,29 Feb 2024 00:56:23.652,2563.515
4,29 Feb 2024 01:40:16.454,29 Feb 2024 02:23:13.820,2577.367
5,29 Feb 2024 03:07:23.587,29 Feb 2024 03:50:22.076,2578.489
6,29 Feb 2024 04:35:55.713,29 Feb 2024 05:18:40.410,2564.697
7,29 Feb 2024 06:10:47.652,29 Feb 2024 06:53:36.790,2569.138
8,29 Feb 2024 08:42:10.328,29 Feb 2024 09:21:23.483,2353.154
9,29 Feb 2024 10:08:24.116,29 Feb 2024 10:50:13.140,2509.024
10,29 Feb 2024 11:34:48.485,29 Feb 2024 12:17:21.586,2553.101
11,29 Feb 2024 13:01:18.396,29 Feb 2024 13:44:11.501,2573.105
12,29 Feb 2024 14:28:08.977,29 Feb 2024 15:11:08.597,2579.620
13,29 Feb 2024 15:55:53.329,29 Feb 2024 16:38:45.860,2572.531
14,29 Feb 2024 17:26:39.481,29 Feb 2024 18:09:14.162,2554.681
15,29 Feb 2024 19:18:25.397,29 Feb 2024 19:50:26.702,1921.304

